Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.00188295;0.00682617;12.7346;0.00571614;26.976;27.6928;0.220731
2;0.00169284;0.0065708;12.7187;0.00573653;26.9291;27.6717;0.218924
3;0.00166402;0.00653705;12.7132;0.00572274;26.9483;27.6923;0.218805
4;0.00175144;0.00657103;12.7146;0.0057151;26.945;27.6743;0.217855
5;0.00170976;0.00659022;12.6997;0.00575761;26.939;27.6727;0.21784
6;0.00170366;0.0066417;12.7093;0.00564316;26.9361;27.6767;0.220112
7;0.00168394;0.00663804;12.7019;0.00568636;26.8995;27.6868;0.215974
8;0.00166233;0.00653266;12.7046;0.00566611;26.9211;27.6613;0.216005
9;0.00167691;0.00655457;12.7041;0.00568142;26.8371;27.6625;0.217618
10;0.00171797;0.00652895;12.7069;0.00573964;26.9214;27.6415;0.218249
11;0.00172578;0.00663239;12.7101;0.00569517;26.9398;27.646;0.218159
12;0.00168274;0.00669232;12.7206;0.00566612;26.961;27.6573;0.215143
13;0.00167854;0.00668256;12.7149;0.00573631;26.9643;27.6554;0.217396
14;0.00169312;0.00657744;12.7214;0.00574685;26.936;27.6689;0.216284
15;0.00165547;0.00652138;12.7043;0.00566305;26.9297;27.6653;0.216509
16;0.00165735;0.00654123;12.7076;0.00567087;26.9516;27.6607;0.215994
17;0.00168721;0.00659366;12.7122;0.00575032;26.9431;27.6629;0.2194
18;0.00166351;0.00657704;12.7234;0.00572751;26.9444;27.6755;0.221454
19;0.00170641;0.00672936;12.723;0.00572358;26.9534;27.6615;0.219787
20;0.00170996;0.00658698;12.713;0.00567153;26.9451;27.6648;0.220157
21;0.00170449;0.0065532;12.7213;0.00574459;26.9605;27.6334;0.215756
22;0.00171804;0.00656645;12.7171;0.00570066;26.9469;27.6719;0.217484
23;0.00175144;0.00666802;12.7151;0.00569223;26.9606;27.68;0.219006
24;0.00169962;0.00663043;12.7305;0.00569596;26.9294;27.6601;0.218481
25;0.00165326;0.00657315;12.7124;0.00566498;26.9711;27.6786;0.217245
26;0.00168685;0.00660059;12.7475;0.00573373;26.9642;27.7492;0.218178
27;0.00177517;0.00655534;12.7106;0.00572425;26.9306;27.7013;0.217964
28;0.00169097;0.006549;12.7263;0.00573056;27.0241;27.7016;0.219626
29;0.00173644;0.00658594;12.7414;0.00576994;26.962;27.6767;0.218941
30;0.00168365;0.00654927;12.6981;0.00572311;26.9077;27.6638;0.215501
